Predicado,Conclus�o,Confian�a,Lift
physics,c/c++,1,54.63461538
physics; mentor,c/c++,1,54.63461538
electronic voting,scala,1,43.04545455
logic,scala,1,43.04545455
electronic voting; mentor,scala,1,43.04545455
logic; mentor,scala,1,43.04545455
kubernetes,cloud,1,37.88
data science; mentor,r-project,0.82967033,34.83389271
r-project; mentor,data science,1,34.50607287
r-project; student,data science,1,34.50607287
data science; student,r-project,0.8,33.58817734
artificial intelligence; mentor,javascript,0.714285714,14.95787996
mentor; machine translation,c++,1,11.80470914
privacy,c++,0.825396825,9.74356945
network biology,java,1,8.981032666
network biology; mentor,java,1,8.981032666
games,java,0.771929825,6.93272697
web development; mentor,java,0.703488372,6.31805205
statistical computing,python,1,4.324200913
event management; mentor,python,1,4.324200913
information security; mentor,python,1,4.324200913
statistical computing; mentor,python,1,4.324200913
hardware; mentor,python,0.76744186,3.318572794
programming languages; mentor,python,0.704545455,3.046596098
