student,python,image analysis,female
mentor,python,image analysis,female
mentor,python,image analysis,female
mentor,python,image analysis,female
student,posix,operating systems,female
mentor,posix,operating systems,female
student,python,space,female
mentor,python,space,female
mentor,java,medical records,female
mentor,java,medical records,female
student,javascript,science and enineering,female
student,javascript,science and enineering,female
mentor,javascript,science and enineering,female
student,javascript,science and enineering,female
mentor,javascript,science and enineering,female
mentor,javascript,science and enineering,female
student,java,natural language processing,female
mentor,java,natural language processing,female
mentor,java,natural language processing,female
student,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
student,python,gis,female
mentor,python,gis,female
mentor,python,gis,female
mentor,high performance computing,natural language processing,female
mentor,high performance computing,natural language processing,female
student,c,desktop environment,female
student,c,privacy,female
mentor,c,privacy,female
student,middleware,cloud,female
mentor,middleware,cloud,female
mentor,middleware,cloud,female
student,shell script,virtualization,female
mentor,shell script,virtualization,female
student,python,image analysis,female
mentor,python,image analysis,female
mentor,python,image analysis,female
student,ruby,visualization,female
mentor,ruby,visualization,female
student,javascript,unit testing,female
mentor,javascript,unit testing,female
mentor,python,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,javascript,education,female
mentor,javascript,education,female
mentor,python,computer vision,female
mentor,java,game,female
mentor,java,game,female
mentor,java,game,female
mentor,javascript,accessibility,female
mentor,c++,machine learning,female
student,java,natural language processing,female
mentor,c++,computer vision,female
student,java,cloud,female
mentor,java,cloud,female
mentor,julia,statistics,female
mentor,python,web,female
mentor,c++,computer architecture,female
student,python,gis,female
mentor,python,gis,female
student,qt,desktop applications,female
mentor,qt,desktop applications,female
mentor,java,micro services,female
mentor,java,mobile,female
student,qt,desktop applications,female
mentor,qt,desktop applications,female
mentor,qt,desktop applications,female
mentor,python,image analysis,female
mentor,python,image analysis,female
student,r,data science,female
student,open hardware,new projects,female
student,middleware,cloud,female
mentor,julia,statistics,female
mentor,julia,statistics,female
student,ruby on rails,censorship,female
student,scala,compilers,female
mentor,scala,compilers,female
student,c++,web,female
mentor,c,media analysis,female
student,php,web development,female
mentor,php,web development,female
mentor,c++,software preservation,female
student,scala,logic,female
student,c++,computer vision,female
student,python,scientific computing,female
mentor,python,scientific computing,female
mentor,python,scientific computing,female
student,openwrt,mesh,female
mentor,java,humanitarian,female
student,python,content management,female
mentor,java,java,female
student,python,appsec,female
mentor,python,appsec,female
mentor,python,appsec,female
mentor,python,appsec,female
student,java,java,female
mentor,java,java,female
mentor,java,java,female
mentor,javascript,virtual reality,female
student,c,compiler,female
mentor,julia,statistics,female
mentor,c/c++,network storage,female
student,c++,dataviz,female
mentor,c++,dataviz,female
mentor,ruby on rails,linux,female
student,java,science,female
mentor,java,science,female
student,git,git,female
student,python,natural language processing,female
mentor,python,natural language processing,female
student,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,javascript,science and enineering,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,middleware,cloud,female
mentor,middleware,cloud,female
mentor,scala,compilers,female
student,ruby,forum,female
mentor,python,mathematics,female
mentor,python,mathematics,female
student,scala,logic,female
mentor,scala,logic,female
mentor,scala,logic,female
mentor,ros,robotics,female
mentor,ros,robotics,female
mentor,java,science,female
student,c++,dataviz,female
mentor,python,appsec,female
mentor,python,mathematics,female
mentor,python,mathematics,female
mentor,python,math,female
mentor,python,math,female
student,lua,programming languages,female
mentor,lua,programming languages,female
mentor,c++,computer vision,female
mentor,python,astronomy,female
mentor,ruby,concurrency,female
student,android,education,female
mentor,android,education,female
mentor,android,education,female
mentor,python,web development,female
student,c,audio,female
mentor,c,audio,female
student,java,medical records,female
mentor,java,medical records,female
mentor,java,medical records,female
student,c++,web,female
mentor,c++,web,female
student,c,compiler,female
mentor,c,compiler,female
mentor,java,cloud,female
mentor,c++,office suite,female
student,scala,compilers,female
mentor,scala,compilers,female
mentor,python,gis,female
mentor,python,gis,female
student,qt,desktop applications,female
mentor,qt,desktop applications,female
mentor,javascript,web applications,female
student,c,reverse engineering,female
mentor,c,reverse engineering,female
mentor,c,reverse engineering,female
student,c++,machine learning,female
mentor,c++,machine learning,female
mentor,c++,machine learning,female
student,c,compatibility,female
mentor,c,compatibility,female
mentor,vhdl,embedded hardware,female
student,java,iot,female
mentor,java,iot,female
mentor,java,iot,female
mentor,python,music,female
mentor,python,music,female
student,r,data science,female
mentor,r,data science,female
mentor,posix,operating systems,female
mentor,perl,bioinformatics,female
mentor,hg,mathematics,female
student,javascript,javascript,female
mentor,shell script,virtualization,female
student,high performance computing,natural language processing,female
mentor,high performance computing,natural language processing,female
mentor,high performance computing,natural language processing,female
mentor,open hardware,new projects,female
mentor,python,education,female
mentor,c,desktop environment,female
mentor,c/c++,communications,female
student,python,live streaming,female
mentor,python,live streaming,female
mentor,opencl,cad,female
student,c++,numerical and data analysis software,female
mentor,c/c++,virtualization,female
mentor,distributed systems,cloud,female
mentor,python,math,female
student,python,math,female
mentor,python,math,female
student,hg,mathematics,female
mentor,hg,mathematics,female
student,c,log management,female
student,hg,mathematics,female
mentor,hg,mathematics,female
student,xia,computer networking,female
student,python,genomics,female
mentor,python,genomics,female
mentor,javascript,game theory,female
student,fasm,desktop,female
mentor,fasm,desktop,female
student,git,git,female
mentor,git,git,female
mentor,mp4,streaming,female
student,java,testing,female
mentor,java,testing,female
mentor,medical imaging,imaging,female
mentor,c/c++,virtualization,female
student,c,desktop environment,female
mentor,c,desktop environment,female
mentor,android,education,female
mentor,android,education,female
mentor,middleware,cloud,female
mentor,java,education,female
student,internet of things,internet of things,female
mentor,webgl,image analysis,female
mentor,webgl,image analysis,female
mentor,julia,statistics,female
student,python,science,female
mentor,python,science,female
mentor,python,science,female
mentor,php,education,female
mentor,erlang,messaging,female
mentor,erlang,messaging,female
mentor,c,internet of things,female
mentor,hg,mathematics,female
mentor,c++,software preservation,female
student,bsd,operating systems,female
mentor,c,audio,female
student,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,ruby on rails,linux,female
mentor,perl,bioinformatics,female
student,ruby on rails,linux,female
student,javascript,simulation,female
mentor,javascript,simulation,female
mentor,c,desktop environment,female
student,javascript,web,female
mentor,c++,office suite,female
mentor,c++,office suite,female
mentor,php,cms,female
mentor,php,cms,female
student,postgis,gis,female
mentor,postgis,gis,female
mentor,postgis,gis,female
student,python,bioinformatics,female
mentor,python,bioinformatics,female
mentor,c++,computer vision,female
student,python,astronomy,female
mentor,python,astronomy,female
mentor,c,compiler,female
student,dlang,compilers,female
